#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Paperboy (Japan);Paperboy (Japan);Mega Drive;Paperboy (USA, Europe);1992;Motivetime;Sports;1-2;0;;;;;;;;;;;eu,us;3
Paperboy (USA, Europe);Paperboy (USA, Europe);Mega Drive;;1992;Motivetime;Sports;1-2;0;;;;;;;;;;;eu,us;3
Paperboy 2 (USA, Europe);Paperboy 2 (USA, Europe);Mega Drive;;1993;Tengen;Sports;1-2;0;;;;;;;;;;;eu,us;18
Party Quiz Mega Q (Japan);Party Quiz Mega Q (Japan);Mega Drive;;1993;Minato Giken;Quiz;4+;0;;;;;;;;;;;jp;
Pat Riley Basketball (USA);Pat Riley Basketball (USA);Mega Drive;Super Real Basketball (Europe);1990;SEGA;Sports;1-2;0;;;;;;;;;;;us;pro_UK_06
Pat Riley Basketball (USA) (Beta) (1990-06-14);Pat Riley Basketball (USA) (Beta) (1990-06-14);Mega Drive;Super Real Basketball (Europe);1990;SEGA;Sports;1-2;0;;;;;;;;;;;us;pro_UK_06
Payne Stewart Pro Golf (USA) (Proto 1);Payne Stewart Pro Golf (USA) (Proto 1);Mega Drive;Payne Stewart Pro Golf (USA) (Proto 2);;;;;0;;;;;;;;;;;us;
Payne Stewart Pro Golf (USA) (Proto 2);Payne Stewart Pro Golf (USA) (Proto 2);Mega Drive;;;;;;0;;;;;;;;;;;us;
Pebble Beach Golf Links (USA) (Rev A) (1994-02-14) (Sega Channel);Pebble Beach Golf Links (USA) (Rev A) (1994-02-14) (Sega Channel);Mega Drive;Pebble Beach Golf Links (Europe);1994;T&E Soft;Sports;1-4;0;;;;;;;;;;;eu,us;GA
Pebble Beach Golf Links (Europe);Pebble Beach Golf Links (Europe);Mega Drive;;1994;T&E Soft;Sports;1-4;0;;;;;;;;;;;eu,us;GA
Pebble Beach Golf Links (USA);Pebble Beach Golf Links (USA);Mega Drive;Pebble Beach Golf Links (Europe);1994;T&E Soft;Sports;1-4;0;;;;;;;;;;;eu,us;GA
Pedreiro Polar (Brazil) (Super Mega Drive 3);Pedreiro Polar (Brazil) (Super Mega Drive 3);Mega Drive;;2005;Devworks Game Technology;Action;1;0;;;;;;;;;;pt;br;TI
Pele II - World Tournament Soccer (USA, Europe);Pele II - World Tournament Soccer (USA, Europe);Mega Drive;;1994;Radical Entertainment;Sports;1-4;0;;;;;;;;;;;eu,us;GA
Pele! (USA, Europe);Pele! (USA, Europe);Mega Drive;;1993;Radical Entertainment;Sports;1-2;0;;;;;;;;;;;eu,us;GA
Pele! (USA, Europe) (Sample);Pele! (USA, Europe) (Sample);Mega Drive;Pele! (USA, Europe);1993;Radical Entertainment;Sports;1-2;0;;;;;;;;;;;eu,us;GA
Pense Bem (Brazil) (Mega Drive 4);Pense Bem (Brazil) (Mega Drive 4);Mega Drive;;2003;Devworks Game Technology;Quiz;1;0;;;;;;;;;;pt;br;TI
Pepenga Pengo (Japan);Pepenga Pengo (Japan);Mega Drive;;1995;JSH;Action;1-4;0;;;;;;;;;;;jp;6
Pete Sampras Tennis (USA, Europe) (Rev 1) (MDST17FF) (J-Cart);Pete Sampras Tennis (USA, Europe) (Rev 1) (MDST17FF) (J-Cart);Mega Drive;Pete Sampras Tennis (Europe) (Rev 2) (MDSTEE13);1994;Codemasters;Sports;1-4;0;;;;;;;;;;;eu,us;3
Pete Sampras Tennis (USA, Europe) (MDST6636) (J-Cart);Pete Sampras Tennis (USA, Europe) (MDST6636) (J-Cart);Mega Drive;Pete Sampras Tennis (Europe) (Rev 2) (MDSTEE13);1994;Codemasters;Sports;1-4;0;;;;;;;;;;;eu,us;3
Pete Sampras Tennis (Europe) (Rev 2) (MDSTEE13);Pete Sampras Tennis (Europe) (Rev 2) (MDSTEE13);Mega Drive;;1994;Codemasters;Sports;1-4;0;;;;;;;;;;;eu,us;3
PGA European Tour (USA, Europe);PGA European Tour (USA, Europe);Mega Drive;;1994;Polygames;Sports;1-4;0;;;;;;;;;;;eu,us;GA
PGA Tour 96 (USA, Europe);PGA Tour 96 (USA, Europe);Mega Drive;;1995;Hitmen Productions;Sports;1-4;0;;;;;;;;;;;eu,us;6
PGA Tour Golf (USA, Europe) (PGA07);PGA Tour Golf (USA, Europe) (PGA07);Mega Drive;PGA Tour Golf (USA, Europe) (PGA09);1991;Sterling Silver Software;Sports;1-4;0;;;;;;;;;;;eu,us;GA
